Rang;Staat;Fläche in km²;Fläche in km²;Fläche in km²
;;(Gesamt);(Land);(Wasser)
139; Armenien[Anm. 24];29.743;28.203;1.540
140; Albanien;28.748;27.398;1.350
141; Äquatorialguinea;28.051;28.051;0
142; Burundi;27.830;25.680;2.150
143; Haiti;27.750;27.560;190
144; Ruanda;26.338;24.668;1.670
145; Nordmazedonien;25.713;25.433;280
146; Dschibuti;23.200;23.180;20
147; Belize;22.966;22.806;160
148; El Salvador;21.041;20.721;320
149; Israel[Anm. 25];20.770;20.330;440
150; Slowenien;20.273;20.151;122
–; Neukaledonien;18.575;18.275;300
151; Fidschi;18.274;18.274;0
152; Kuwait;17.818;17.818;0
153; Eswatini;17.364;17.204;160
154; Osttimor;14.874;14.874;0
155; Bahamas;13.880;10.010;3.870
156; Montenegro;13.812;13.452;360
157; Vanuatu;12.189;12.189;0
–; Falklandinseln;12.173;12.173;0
158; Katar;11.586;11.586;0
159; Gambia;11.300;10.120;1.180
160; Jamaika;10.991;10.831;160
–; Kosovo;10.908;10.908;0
161; Libanon;10.400;10.230;170
162; Republik Zypern[Anm. 26];9.251;9.241;10
–; Puerto Rico;9.104;8.959;145
–; Palästina[Anm. 27];6.220;6.000;220
163; Brunei;5.765;5.265;500
164; Trinidad und Tobago;5.128;5.128;0
–; Französisch-Polynesien;4.167;3.827;340
165; Kap Verde;4.033;4.033;0
–; Südgeorgien und die Südlichen Sandwichinseln;3.903;3.903;0
166; Samoa;2.831;2.821;10
167; Luxemburg;2.586;2.586;0
168; Komoren;2.235;2.235;0
169; Mauritius;2.040;2.030;10
–; Amerikanische Jungferninseln;1.910;346;1.564
–; Färöer;1.393;1.393;0
–; Hongkong;1.108;1.073;35
170; São Tomé und Príncipe;964;964;0
–; Turks- und Caicosinseln;948;948;0
171; Kiribati;811;811;0
172; Bahrain;760;760;0
173; Dominica;751;751;0
174; Tonga;747;717;30
175; Singapur;719;709;10
176; Mikronesien;702;702;0
177; St. Lucia;616;606;10
–; Isle of Man;572;572;0
–; Guam;544;544;0
178; Andorra;468;468;0
–; Nördliche Marianen;464;464;0
179; Palau;459;459;0
180; Seychellen;455;455;0
–; Curaçao;444;444;0
181; Antigua und Barbuda;443;443;0
182; Barbados;430;430;0
–; Heard und McDonaldinseln;412;412;0
–; St. Helena, Ascension und Tristan da Cunha;394;394;0
183; St. Vincent und die Grenadinen;389;389;0
–; Jan Mayen;377;377;0
184; Grenada;344;344;0
185; Malta;316;316;0
186; Malediven;298;298;0
–; Cayman Islands;264;264;0
187; St. Kitts und Nevis;261;261;0
–; Niue;260;260;0
–; Saint-Pierre und Miquelon;242;242;0
–; Cookinseln;236;236;0
–; Amerikanisch-Samoa;224;224;0
188; Marshallinseln;181;181;0
–; Aruba;180;180;0
189; Liechtenstein;160;160;0
–; Britische Jungferninseln;151;151;0
–; Wallis und Futuna;142;142;0
–; Weihnachtsinsel;135;135;0
–; Dhekelia;131;131;0
–; Baker Island;129;129;0
–; Akrotiri;123;123;0
–; Jersey;116;116;0
–; Montserrat;102;102;0
–; Anguilla;91;91;0
–; Guernsey;78;78;0
190; San Marino;61;61;0
–; Britisches Territorium im Indischen Ozean;60;60;0
–; Saint-Martin;54;54;0
–; Bermuda;54;54;0
–; Bouvetinsel;49;49;0
–; Pitcairninseln;47;47;0
–; Norfolkinsel;36;36;0
–; Sint Maarten;34;34;0
–; Macau;28;28;0
191; Tuvalu;26;26;0
–; Saint Barthelemy;25;25;0
192; Nauru;21;21;0
–; Kokosinseln;14;14;0
–; Palmyra-Atoll;12;12;0
–; Tokelau;12;12;0
–;Paracel-Inseln;7,8;7,8;0
–; Gibraltar;6,5;6,5;0
–; Wake;6,5;6,5;0
–; Midwayinseln;6,2;6,2;0
–; Clipperton-Insel;6;6;0
–; Navassa;5,4;5,4;0
–; Ashmore- und Cartierinseln;5;5;0
–;Spratly-Inseln;5;5;0
–; Jarvisinsel;4,5;4,5;0
–; Johnston-Atoll;2,6;2,6;0
193; Monaco;2;2;0
–; Howlandinsel;1,6;1,6;0
–; Kingmanriff;1;1;0
194; Vatikanstadt;0,44;0,44;0
